constructorId,url,name,nationality
adams,https://en.wikipedia.org/wiki/Adams_(constructor),Adams,American
afm,https://en.wikipedia.org/wiki/Alex_von_Falkenhausen_Motorenbau,AFM,German
ags,https://en.wikipedia.org/wiki/Automobiles_Gonfaronnaises_Sportives,AGS,French
alfa,https://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One,Alfa Romeo,Swiss
alphatauri,https://en.wikipedia.org/wiki/Scuderia_AlphaTauri,AlphaTauri,Italian
alpine,https://en.wikipedia.org/wiki/Alpine_F1_Team,Alpine F1 Team,French
alta,https://en.wikipedia.org/wiki/Alta_Car_and_Engineering_Company,Alta,British
amon,https://en.wikipedia.org/wiki/Chris_Amon_Racing,Amon,New Zealander
apollon,https://en.wikipedia.org/wiki/Apollon_(Formula_One),Apollon,Swiss
arrows,https://en.wikipedia.org/wiki/Arrows_Grand_Prix_International,Arrows,British
arzani-volpini,https://en.wikipedia.org/wiki/Arzani-Volpini,Arzani-Volpini,Italian
aston_martin,https://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One,Aston Martin,British
ats,https://en.wikipedia.org/wiki/ATS_Wheels,ATS,Italian
audi,https://en.wikipedia.org/wiki/Audi_in_Formula_One,Audi,German
bar,https://en.wikipedia.org/wiki/British_American_Racing,BAR,British
behra-porsche,https://en.wikipedia.org/wiki/Behra-Porsche,Behra-Porsche,Italian
bellasi,https://en.wikipedia.org/wiki/Bellasi,Bellasi,Swiss
benetton,https://en.wikipedia.org/wiki/Benetton_Formula,Benetton,Italian
bmw,https://en.wikipedia.org/wiki/BMW,BMW,German
bmw_sauber,https://en.wikipedia.org/wiki/BMW_in_Formula_One,BMW Sauber,German
boro,https://en.wikipedia.org/wiki/Boro_(Formula_One),Boro,Dutch
brabham,https://en.wikipedia.org/wiki/Brabham,Brabham,British
brabham-alfa_romeo,https://en.wikipedia.org/wiki/Brabham,Brabham-Alfa Romeo,British
brabham-brm,https://en.wikipedia.org/wiki/Brabham,Brabham-BRM,British
brabham-climax,https://en.wikipedia.org/wiki/Brabham,Brabham-Climax,British
brabham-ford,https://en.wikipedia.org/wiki/Brabham,Brabham-Ford,British
brabham-repco,https://en.wikipedia.org/wiki/Brabham,Brabham-Repco,British
brawn,https://en.wikipedia.org/wiki/Brawn_GP,Brawn,British
brm,https://en.wikipedia.org/wiki/British_Racing_Motors,BRM,British
brm-ford,https://en.wikipedia.org/wiki/British_Racing_Motors,BRM-Ford,British
bromme,https://en.wikipedia.org/wiki/Bromme,Bromme,American
brp,https://en.wikipedia.org/wiki/British_Racing_Partnership,BRP,British
bugatti,https://en.wikipedia.org/wiki/Bugatti,Bugatti,French
butterworth,https://en.wikipedia.org/wiki/Aston_Butterworth,Aston Butterworth,British
cadillac,https://en.wikipedia.org/wiki/Cadillac_in_Formula_One,Cadillac F1 Team,American
caterham,https://en.wikipedia.org/wiki/Caterham_F1,Caterham,Malaysian
cisitalia,https://en.wikipedia.org/wiki/Cisitalia,Cisitalia,Italian
coloni,https://en.wikipedia.org/wiki/Scuderia_Coloni,Coloni,Italian
connaught,https://en.wikipedia.org/wiki/Connaught_Engineering,Connaught,British
connew,https://en.wikipedia.org/wiki/Connew,Connew,British
cooper,https://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper,British
cooper-alfa_romeo,https://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Alfa Romeo,British
cooper-ats,https://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-ATS,British
cooper-borgward,https://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Borgward,British
cooper-brm,https://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-BRM,British
cooper-castellotti,https://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Castellotti,British
cooper-climax,https://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Climax,British
cooper-ferrari,https://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Ferrari,British
cooper-ford,https://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Ford,British
cooper-maserati,https://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-Maserati,British
cooper-osca,https://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper-OSCA,British
dallara,https://en.wikipedia.org/wiki/Dallara,Dallara,Italian
de_tomaso-alfa_romeo,https://en.wikipedia.org/wiki/De_Tomaso,De Tomaso-Alfa Romeo,Italian
de_tomaso-ferrari,https://en.wikipedia.org/wiki/De_Tomaso,De Tomaso-Ferrari,Italian
de_tomaso-osca,https://en.wikipedia.org/wiki/De_Tomaso,De Tomaso-Osca,Italian
deidt,https://en.wikipedia.org/wiki/Emil_Diedt,Deidt,American
del_roy,https://en.wikipedia.org/wiki/Frank_DelRoy,Del Roy,American
derrington,https://en.wikipedia.org/wiki/Derrington-Francis,Derrington,British
dunn,https://en.wikipedia.org/wiki/Dunn_Engineering,Dunn,American
eagle,https://en.wikipedia.org/wiki/All_American_Racers,Eagle,American
eagle-climax,https://en.wikipedia.org/wiki/All_American_Racers,Eagle-Climax,American
eagle-weslake,https://en.wikipedia.org/wiki/All_American_Racers,Eagle-Weslake,American
elder,https://en.wikipedia.org/wiki/Edgar_Elder,Elder,American
emeryson,https://en.wikipedia.org/wiki/Emeryson,Emeryson,British
emw,https://en.wikipedia.org/wiki/Eisenacher_Motorenwerk,EMW,East German
enb,https://en.wikipedia.org/wiki/Écurie_Nationale_Belge,ENB,Belgian
ensign,https://en.wikipedia.org/wiki/Ensign_Racing,Ensign,British
epperly,https://en.wikipedia.org/wiki/Epperly,Epperly,American
era,https://en.wikipedia.org/wiki/English_Racing_Automobiles,ERA,British
eurobrun,https://en.wikipedia.org/wiki/EuroBrun,Euro Brun,Italian
ewing,https://en.wikipedia.org/wiki/Wayne_Ewing,Ewing,American
ferguson,https://en.wikipedia.org/wiki/Ferguson_Research,Ferguson,British
ferrari,https://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
fittipaldi,https://en.wikipedia.org/wiki/Fittipaldi_Automotive,Fittipaldi,Brazilian
fondmetal,https://en.wikipedia.org/wiki/Fondmetal,Fondmetal,Italian
footwork,https://en.wikipedia.org/wiki/Footwork_Arrows,Footwork,British
force_india,https://en.wikipedia.org/wiki/Racing_Point_Force_India,Force India,Indian
forti,https://en.wikipedia.org/wiki/Forti,Forti,Italian
frazer_nash,https://en.wikipedia.org/wiki/Frazer_Nash,Frazer Nash,British
fry,https://en.wikipedia.org/wiki/Fry_(racing_team),Fry,British
gilby,https://en.wikipedia.org/wiki/Gilby,Gilby,British
gordini,https://en.wikipedia.org/wiki/Gordini,Gordini,French
haas,https://en.wikipedia.org/wiki/Haas_F1_Team,Haas F1 Team,American
hall,https://en.wikipedia.org/wiki/Hall_(constructor),Hall,American
hesketh,https://en.wikipedia.org/wiki/Hesketh_Racing,Hesketh,British
hill,https://en.wikipedia.org/wiki/Embassy_Hill,Embassy Hill,British
honda,https://en.wikipedia.org/wiki/Honda_in_Formula_One,Honda,Japanese
hrt,https://en.wikipedia.org/wiki/HRT_Formula_1_Team,HRT,Spanish
hwm,https://en.wikipedia.org/wiki/Hersham_and_Walton_Motors,HWM,British
iso_marlboro,https://en.wikipedia.org/wiki/Frank_Williams_Racing_Cars,Iso Marlboro,British
jaguar,https://en.wikipedia.org/wiki/Jaguar_Racing,Jaguar,British
jbw,https://en.wikipedia.org/wiki/JBW,JBW,British
jordan,https://en.wikipedia.org/wiki/Jordan_Grand_Prix,Jordan,Irish
kauhsen,https://en.wikipedia.org/wiki/Kauhsen,Kauhsen,German
klenk,https://en.wikipedia.org/wiki/Klenk,Klenk,German
kojima,https://en.wikipedia.org/wiki/Kojima_Engineering,Kojima,Japanese
kurtis_kraft,https://en.wikipedia.org/wiki/Kurtis_Kraft,Kurtis Kraft,American
kuzma,https://en.wikipedia.org/wiki/Eddie_Kuzma,Kuzma,American
lago,https://en.wikipedia.org/wiki/Talbot-Lago,Talbot-Lago,French
lambo,https://en.wikipedia.org/wiki/Modena_(racing_team),Lambo,Italian
lancia,https://en.wikipedia.org/wiki/Scuderia_Lancia,Lancia,Italian
langley,https://en.wikipedia.org/wiki/Langley_(constructor),Langley,American
larrousse,https://en.wikipedia.org/wiki/Larrousse,Larrousse,French
lds,https://en.wikipedia.org/wiki/LDS_(automobile),LDS,South African
lds-alfa_romeo,https://en.wikipedia.org/wiki/LDS_(automobile),LDS-Alfa Romeo,South African
lds-climax,https://en.wikipedia.org/wiki/LDS_(automobile),LDS-Climax,South African
lec,https://en.wikipedia.org/wiki/LEC_Refrigeration_Racing,LEC,British
lesovsky,https://en.wikipedia.org/wiki/Lesovsky,Lesovsky,American
leyton,https://en.wikipedia.org/wiki/Leyton_House_Racing,Leyton House,British
life,https://en.wikipedia.org/wiki/Life_Racing_Engines,Life,Italian
ligier,https://en.wikipedia.org/wiki/Ligier,Ligier,French
lola,https://en.wikipedia.org/wiki/MasterCard_Lola,Lola,British
lotus-borgward,https://en.wikipedia.org/wiki/Team_Lotus,Lotus-Borgward,British
lotus-brm,https://en.wikipedia.org/wiki/Team_Lotus,Lotus-BRM,British
lotus-climax,https://en.wikipedia.org/wiki/Team_Lotus,Lotus-Climax,British
lotus-ford,https://en.wikipedia.org/wiki/Team_Lotus,Lotus-Ford,British
lotus-maserati,https://en.wikipedia.org/wiki/Team_Lotus,Lotus-Maserati,British
lotus-pw,https://en.wikipedia.org/wiki/Team_Lotus,Lotus-Pratt &amp; Whitney,British
lotus_f1,https://en.wikipedia.org/wiki/Lotus_F1,Lotus F1,British
lotus_racing,https://en.wikipedia.org/wiki/Lotus_Racing,Lotus,Malaysian
lyncar,https://en.wikipedia.org/wiki/Lyncar,Lyncar,British
maki,https://en.wikipedia.org/wiki/Maki_Engineering,Maki,Japanese
manor,https://en.wikipedia.org/wiki/Manor_Motorsport,Manor Marussia,British
march,https://en.wikipedia.org/wiki/March_Engineering,March,British
march-alfa_romeo,https://en.wikipedia.org/wiki/March_Engineering,March-Alfa Romeo,British
march-ford,https://en.wikipedia.org/wiki/March_Engineering,March-Ford,British
marchese,https://en.wikipedia.org/wiki/Carl_Marchese,Marchese,American
martini,https://en.wikipedia.org/wiki/Automobiles_Martini,Martini,French
marussia,https://en.wikipedia.org/wiki/Marussia_F1,Marussia,Russian
maserati,https://en.wikipedia.org/wiki/Maserati,Maserati,Italian
matra,https://en.wikipedia.org/wiki/Matra,Matra,French
matra-ford,https://en.wikipedia.org/wiki/Matra,Matra-Ford,French
mbm,https://en.wikipedia.org/wiki/Monteverdi_(automobile),MBM,Swiss
mcguire,https://en.wikipedia.org/wiki/McGuire_(Formula_One),McGuire,Australian
mclaren,https://en.wikipedia.org/wiki/McLaren,McLaren,British
mclaren-alfa_romeo,https://en.wikipedia.org/wiki/McLaren,McLaren-Alfa Romeo,British
mclaren-brm,https://en.wikipedia.org/wiki/McLaren,McLaren-BRM,British
mclaren-ford,https://en.wikipedia.org/wiki/McLaren,McLaren-Ford,British
mclaren-seren,https://en.wikipedia.org/wiki/McLaren,McLaren-Serenissima,British
mercedes,https://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Mercedes,German
merzario,https://en.wikipedia.org/wiki/Merzario,Merzario,Italian
meskowski,https://en.wikipedia.org/wiki/Meskowski,Meskowski,American
mf1,https://en.wikipedia.org/wiki/Midland_F1_Racing,MF1,Russian
milano,https://en.wikipedia.org/wiki/Scuderia_Milano,Milano,Italian
minardi,https://en.wikipedia.org/wiki/Minardi,Minardi,Italian
moda,https://en.wikipedia.org/wiki/Andrea_Moda_Formula,Andrea Moda,Italian
moore,https://en.wikipedia.org/wiki/Lou_Moore,Moore,American
nichels,https://en.wikipedia.org/wiki/Nichels,Nichels,American
olson,https://en.wikipedia.org/wiki/Olson_(constructor),Olson,American
onyx,https://en.wikipedia.org/wiki/Onyx_Grand_Prix,Onyx,British
osca,https://en.wikipedia.org/wiki/O.S.C.A.,OSCA,Italian
osella,https://en.wikipedia.org/wiki/Osella,Osella,Italian
pacific,https://en.wikipedia.org/wiki/Pacific_Racing,Pacific,British
pankratz,https://en.wikipedia.org/wiki/Pankratz,Pankratz,American
parnelli,https://en.wikipedia.org/wiki/Vel's_Parnelli_Jones_Racing,Parnelli,American
pawl,https://en.wikipedia.org/wiki/Pawl_(constructor),Pawl,American
penske,https://en.wikipedia.org/wiki/Team_Penske,Penske,American
phillips,https://en.wikipedia.org/wiki/Phillips_(constructor),Phillips,American
politoys,https://en.wikipedia.org/wiki/Frank_Williams_Racing_Cars,Politoys,British
porsche,https://en.wikipedia.org/wiki/Porsche_in_motorsport,Porsche,German
prost,https://en.wikipedia.org/wiki/Prost_Grand_Prix,Prost,French
protos,https://en.wikipedia.org/wiki/Protos_(constructor),Protos,British
racing_point,https://en.wikipedia.org/wiki/Racing_Point_F1_Team,Racing Point,British
rae,https://en.wikipedia.org/wiki/Johnny_Rae_(motorsport),Rae,American
ram,https://en.wikipedia.org/wiki/RAM_Racing,RAM,British
rb,https://en.wikipedia.org/wiki/Racing_Bulls,RB F1 Team,Italian
re,https://en.wikipedia.org/wiki/Realpha,RE,Rhodesian
rebaque,https://en.wikipedia.org/wiki/Rebaque,Rebaque,Mexican
red_bull,https://en.wikipedia.org/wiki/Red_Bull_Racing,Red Bull,Austrian
renault,https://en.wikipedia.org/wiki/Renault_in_Formula_One,Renault,French
rial,https://en.wikipedia.org/wiki/Rial_Racing,Rial,German
sauber,https://en.wikipedia.org/wiki/Sauber_Motorsport,Sauber,Swiss
scarab,https://en.wikipedia.org/wiki/Scarab_(constructor),Scarab,American
schroeder,https://en.wikipedia.org/wiki/Gordon_Schroeder,Schroeder,American
scirocco,https://en.wikipedia.org/wiki/Scirocco-Powell,Scirocco,British
shadow,https://en.wikipedia.org/wiki/Shadow_Racing_Cars,Shadow,British
shadow-ford,https://en.wikipedia.org/wiki/Shadow_Racing_Cars,Shadow-Ford,British
shadow-matra,https://en.wikipedia.org/wiki/Shadow_Racing_Cars,Shadow-Matra,British
shannon,https://en.wikipedia.org/wiki/Shannon_Racing_Cars,Shannon,British
sherman,https://en.wikipedia.org/wiki/Roy_Sherman,Sherman,American
simca,https://en.wikipedia.org/wiki/Simca,Simca,French
simtek,https://en.wikipedia.org/wiki/Simtek,Simtek,British
snowberger,https://en.wikipedia.org/wiki/Russ_Snowberger,Snowberger,American
spirit,https://en.wikipedia.org/wiki/Spirit_Racing,Spirit,British
spyker,https://en.wikipedia.org/wiki/Spyker_F1,Spyker,Dutch
spyker_mf1,https://en.wikipedia.org/wiki/Midland_F1_Racing,Spyker MF1,Dutch
stebro,https://en.wikipedia.org/wiki/Stebro,Stebro,Canadian
stevens,https://en.wikipedia.org/wiki/Myron_Stevens,Stevens,American
stewart,https://en.wikipedia.org/wiki/Stewart_Grand_Prix,Stewart,British
super_aguri,https://en.wikipedia.org/wiki/Super_Aguri_F1,Super Aguri,Japanese
surtees,https://en.wikipedia.org/wiki/Surtees,Surtees,British
sutton,https://en.wikipedia.org/wiki/Sutton_(constructor),Sutton,American
team_lotus,https://en.wikipedia.org/wiki/Team_Lotus,Team Lotus,British
tec-mec,https://en.wikipedia.org/wiki/Tec-Mec,Tec-Mec,Italian
tecno,https://en.wikipedia.org/wiki/Tecno,Tecno,Italian
theodore,https://en.wikipedia.org/wiki/Theodore_Racing,Theodore,Hong Kong
token,https://en.wikipedia.org/wiki/Token_Racing,Token,British
toleman,https://en.wikipedia.org/wiki/Toleman,Toleman,British
tomaso,https://en.wikipedia.org/wiki/De_Tomaso,De Tomaso,Italian
toro_rosso,https://en.wikipedia.org/wiki/Scuderia_Toro_Rosso,Toro Rosso,Italian
toyota,https://en.wikipedia.org/wiki/Toyota_Racing,Toyota,Japanese
trevis,https://en.wikipedia.org/wiki/Trevis,Trevis,American
trojan,https://en.wikipedia.org/wiki/Trojan–Tauranac_Racing,Trojan,British
turner,https://en.wikipedia.org/wiki/Turner_(constructor),Turner,American
tyrrell,https://en.wikipedia.org/wiki/Tyrrell_Racing,Tyrrell,British
vanwall,https://en.wikipedia.org/wiki/Vanwall,Vanwall,British
veritas,https://en.wikipedia.org/wiki/Veritas_(automobile),Veritas,German
vhristensen,https://en.wikipedia.org/wiki/Christensen_(constructor),Christensen,American
virgin,https://en.wikipedia.org/wiki/Virgin_Racing,Virgin,British
watson,https://en.wikipedia.org/wiki/A._J._Watson,Watson,American
wetteroth,https://en.wikipedia.org/wiki/Wetteroth,Wetteroth,American
williams,https://en.wikipedia.org/wiki/Williams_Racing,Williams,British
wolf,https://en.wikipedia.org/wiki/Walter_Wolf_Racing,Wolf,Canadian
zakspeed,https://en.wikipedia.org/wiki/Zakspeed,Zakspeed,German
